hcpcs_code,total_paid,total_claims,total_beneficiaries,row_count
D5120,15434.54,56,56,4
T2025,15310.65,475,255,17
E0470,15270.4,147,126,10
0002A,15234.6,994,915,35
87205,15195.75,19052,13864,508
0072A,15046.96,686,606,25
90474,14796.81,5016,4840,198
0001A,14527.51,1252,1148,38
82248,14436.87,30481,17544,432
15002,14277.32,297,141,10
73110,14186.27,961,827,56
L2280,14149.06,64,37,3
90846,14129.28,132,117,5
99024,14031.88,938,844,45
A5120,13907.05,851,734,46
90700,13860.69,25184,23673,751
J3370,13713.06,388,241,18
99397,13683.53,464,421,27
80362,13600.29,1220,1172,21
1159F,13394.06,99926,82250,1819
86334,13333.86,1996,1739,89
80369,12996.4,1146,1113,18
11900,12875.64,771,702,46
J1815,12828.12,1682,885,62
80305,12634.2,3542,3149,111
97165,12618.28,605,466,32
80324,12603.33,1194,1141,19
J1100,12574.41,11673,7785,238
99490,12564.56,8183,6153,247
93295,12395.33,773,563,24
73221,12230.52,132,71,5
15004,12189.82,124,50,4
72050,12161.61,335,307,19
84165,12123.27,2315,1941,105
95711,12050.64,115,113,7
C1725,11929.34,533,370,24
11730,11852.27,1913,1298,66
96367,11670.58,1290,821,57
S0028,11618.47,1455,1101,48
99335,11592.88,3192,1957,128
86769,11511.96,289,283,5
90853,11497.52,927,294,14
85390,11480.56,3203,1665,74
01961,11440.43,120,107,8
85379,11355.38,19239,13870,618
93297,11353.81,2002,1478,62
2028F,11271.31,738,598,33
A9280,11135.59,608,528,18
93351,11106.55,82,80,6
90674,10888.34,1678,1593,49
81455,10862.2,38,32,2
99000,10798.99,23219,18404,678
E0260,10757.14,733,548,38
1160F,10678.92,193779,170385,2624
20611,10635.99,425,273,19
82570,10511.57,14503,11698,345
D4355,10438.52,750,491,27
87430,10415.05,6505,5598,146
90723,10231.45,12600,11929,518
99402,10126.16,1438,1256,35
64483,10119.02,43,41,3
92550,9926.78,3434,2224,146
92582,9892.97,199,181,7
88120,9864.94,86,79,5
G0101,9829.1,988,959,39
42830,9822.32,25,24,2
A5513,9784.53,453,227,15
76821,9765.4,325,206,14
90688,9764.93,1268,1145,55
90656,9756.02,2747,2711,77
97014,9752.76,972,370,18
70486,9750.19,253,235,17
73564,9649.76,379,266,20
J2370,9602.13,141,110,8
G0500,9546.85,280,248,8
97814,9542.72,523,174,13
96164,9485.5,361,117,8
S5010,9421.65,14,13,1
87045,9391.74,2065,1746,95
36471,9316.41,250,79,6
90707,9306.54,14824,14091,722
99348,9277.65,6196,3139,141
83615,9143.76,8349,5147,224
93990,9099.94,1202,861,49
11043,8937.98,1141,282,19
64495,8928.2,112,110,8
A6402,8924.24,280,223,4
64494,8909.28,113,111,8
90756,8847.16,387,316,14
J2001,8762.92,1215,994,48
72100,8743.78,709,639,47
99499,8635.39,927,743,41
77065,8622.39,407,332,24
V2100,8552.81,2693,2410,125
G8979,8546.55,343,215,15
87428,8505.57,4207,3819,38
71271,8503.56,134,126,9
78815,8493.16,20,13,1
D2934,8468.3,145,55,4
88108,8352.62,1078,866,54
80329,8327.94,3827,1855,80
99468,8283.23,15,14,1
P9603,8203.13,121672,46060,48
77080,8128.11,1131,864,55
88275,8087.98,55,51,4
2001F,8078.34,172466,151692,1471
90839,8066.6,80,42,3
A0100,7960.0,193,117,6
11055,7956.08,923,720,37
99406,7916.53,852,727,36
E1392,7874.25,2247,1693,75
62323,7859.71,52,51,4
72146,7840.11,30,28,2
E0570,7829.43,1584,1103,62
97168,7792.84,90,82,6
V2784,7759.5,4821,4066,203
70491,7728.06,32,27,2
90680,7674.78,27488,25050,1044
D4346,7643.22,264,243,17
99344,7560.0,102,49,3
64415,7526.04,121,116,9
G0181,7504.53,522,518,23
82553,7392.2,931,660,36
51798,7295.42,5489,4181,211
84466,7260.51,1038,861,51
90750,7231.67,66,66,4
S5151,7152.9,223,25,2
87581,7135.06,2203,1994,65
92540,7020.0,47,39,3
T2002,6993.6,930,72,5
87486,6932.76,1718,1551,46
J2469,6864.21,30,26,2
95816,6790.5,174,143,10
20605,6774.74,492,478,27
80202,6736.06,5106,1875,106
90647,6643.1,3146,3097,89
76857,6637.57,1190,1122,57
70551,6612.42,115,102,8
80320,6525.0,3575,2908,135
D0190,6463.58,1825,1808,49
15003,6462.27,30,12,1
20610,6386.07,215,167,12
80074,6324.02,885,722,45
85384,6279.53,9501,5932,253
88365,6149.31,242,201,13
84295,5994.27,125,86,6
0502F,5991.65,183,108,8
95911,5927.82,41,36,2
D2332,5918.47,96,50,4
86738,5896.78,2690,2373,113
17000,5783.34,884,752,49
92555,5560.62,3148,2716,176
84156,5547.98,6767,5027,216
G8991,5461.46,111,48,4
D4342,5379.59,323,70,5
D2331,5312.88,229,100,6
01922,5301.38,76,62,4
A4402,5294.77,78,75,5
0064A,5240.0,239,167,7
74240,5165.61,102,99,7
E0143,5101.59,270,221,14
G0408,5098.15,201,87,4
J7042,5081.07,76,55,4
95923,5064.39,233,199,9
36902,5045.38,25,14,1
82330,5007.05,3423,822,42
99305,4949.89,469,374,25
76870,4935.0,39,39,3
90649,4930.22,759,712,43
J1030,4890.02,928,785,36
J2765,4877.83,3757,3092,128
85014,4868.62,19874,13472,530
80170,4856.47,1825,877,43
G0481,4847.5,987,599,25
99341,4842.9,663,634,33
G8978,4838.36,197,166,11
G0382,4838.25,313,279,13
76937,4738.19,219,161,11
66821,4678.28,46,43,3
77523,4631.51,64,13,1
90682,4628.46,110,110,6
A4314,4603.6,590,466,28
D2150,4589.53,98,84,6
85097,4577.87,239,212,14
80335,4576.38,395,377,11
88302,4465.76,801,685,42
S9088,4464.6,871,740,43
88323,4427.06,140,118,9
90620,4371.97,4827,4502,207
H2011,4350.0,28,26,2
11720,4291.94,2118,1692,54
3074F,4262.93,148605,131302,3148
M0243,4249.53,16,16,1
D9610,4237.8,62,53,3
88300,4209.1,1655,1487,94
S5199,4207.11,132,117,8
V5267,4195.45,42,42,3
87075,4166.64,2685,2095,133
93458,4162.45,13,12,1
J7070,4155.6,2586,560,30
86141,4152.44,6327,4634,109
80350,4141.6,388,370,11
80332,4137.1,390,371,11
72052,4116.75,71,71,4
99173,4111.0,60737,51079,1088
S9131,4102.3,110,12,1
84550,4063.1,10848,7597,369
96368,4029.15,45,44,2
93296,4005.65,1505,1119,29
D1510,4003.3,91,63,5
01810,3982.9,75,63,5
77386,3956.9,40,12,1
95910,3925.9,53,40,3
S2083,3880.06,57,54,4
G8510,3869.24,26909,21791,603
99304,3850.42,449,347,19
90681,3847.54,3761,3499,200
90744,3813.14,10129,9305,436
99050,3762.76,1254,1167,55
Q0162,3761.01,7142,6739,155
J3475,3732.4,559,406,27
93294,3715.87,546,426,17
93298,3697.92,1220,911,60
90935,3687.62,1044,291,19
88142,3662.85,506,470,24
81206,3637.17,288,258,11
Z7502,3603.75,98,96,6
20550,3591.79,164,136,8
84439,3528.2,7959,6415,278
80342,3516.64,390,374,11
92134,3403.49,947,735,52
D8690,3400.0,25,25,2
J2175,3392.5,366,72,5
L1971,3383.72,106,44,3
88271,3376.08,55,51,4
29125,3374.84,309,279,20
L1851,3370.37,153,90,6
85652,3324.79,9482,7854,330
90685,3303.77,2022,1821,95
J7121,3277.1,87,65,4
G0444,3273.12,21514,18763,495
L2270,3226.58,169,93,7
95806,3189.52,30,29,2
91300,3170.9,2001,1602,49
A4221,3166.69,264,76,5
12001,3075.52,103,87,7
85378,3044.12,775,661,31
29540,3023.7,667,639,36
53020,3001.94,123,121,9
G0470,2997.58,14562,3637,73
J1650,2996.35,2147,1046,65
T1014,2985.0,127,124,2
G0108,2968.39,336,311,20
J0360,2952.62,375,234,18
S9451,2951.22,62228,47777,542
99334,2929.57,3359,2580,82
92025,2927.7,172,170,10
83986,2926.12,88,65,4
J7512,2904.26,1325,1089,67
92511,2903.14,13,13,1
D1353,2890.0,1114,268,12
D2950,2880.91,38,34,2
90970,2879.63,989,441,29
77300,2870.68,23,12,1
G8427,2812.2,38034,25508,1199
98977,2805.46,2966,2799,39
D0350,2766.04,2682,2490,71
82272,2758.37,762,627,38
G8990,2751.63,27,12,1
T1013,2727.89,168,163,11
51701,2661.89,1304,1173,50
96161,2656.94,4402,3801,181
S9470,2600.0,2555,2008,77
86592,2595.2,9578,8446,262
99253,2592.39,27,27,2
93356,2578.79,313,258,14
V5011,2573.52,28,24,2
G8417,2561.83,25505,20783,596
90838,2557.26,52,44,3
97158,2552.14,112,79,4
86481,2527.56,32,30,2
80164,2511.47,5292,3128,46
1111F,2508.5,11854,10319,409
A9502,2494.46,53,40,3
86780,2472.04,122,111,7
73502,2456.51,423,305,21
87210,2450.4,3719,3262,152
81270,2448.56,197,182,11
90710,2414.16,3210,2294,128
L0650,2378.87,249,239,17
D9110,2372.03,109,107,7
V5275,2367.0,103,97,7
99072,2350.51,1874,1493,39
99497,2345.3,3409,2692,145
D2140,2344.24,88,61,4
95018,2324.6,40,40,3
93923,2287.53,79,71,4
99053,2278.59,5456,4225,168
86762,2261.51,1204,1129,68
G0439,2244.45,983,864,55
82150,2244.11,3726,2988,160
J2916,2222.1,218,81,6
74022,2158.72,141,128,10
D2940,2149.14,373,127,9
98980,2096.95,2539,2400,37
0031A,2089.13,503,467,23
73080,2030.92,135,117,9
G2025,2029.39,857,588,28
90713,2016.83,17020,16063,527
92226,1963.44,467,217,14
G8420,1952.89,31220,23588,608
A9552,1931.66,44,26,2
D4266,1888.0,23,12,1
77014,1883.57,145,12,1
85046,1873.76,4573,2252,69
99177,1873.27,65510,55350,1384
G8404,1854.03,1815,1234,83
D1310,1842.15,10981,9314,231
90734,1810.92,9043,7876,410
D7280,1774.0,70,43,3
77336,1769.64,278,102,8
99459,1769.52,280,233,15
73090,1751.95,218,196,14
88364,1743.55,50,41,3
T1003,1735.58,79,40,2
88311,1732.39,700,552,37
73560,1711.86,122,108,8
85045,1697.97,4384,2677,157
J3301,1666.18,1838,1643,98
A4259,1657.85,3569,2459,71
95076,1633.4,39,39,3
90658,1613.86,71,71,4
83516,1612.97,282,273,12
80306,1610.88,439,359,18
64484,1600.35,16,16,1
97152,1593.05,46,37,2
3078F,1552.26,143234,123104,3074
95861,1547.55,15,14,1
81279,1539.96,74,70,5
11057,1508.09,243,219,15
93268,1495.11,12,12,1
36416,1459.37,31711,18065,659
A9585,1442.23,42,39,3
88182,1438.37,51,44,3
76882,1431.78,37,36,3
97010,1426.8,418,142,10
99489,1423.64,138,138,7
84166,1410.93,253,199,14
86580,1405.86,393,357,23
74241,1391.22,18,16,1
70496,1379.35,32,25,2
J3420,1366.9,1667,942,58
82465,1362.27,964,770,41
92227,1350.0,68,33,2
52000,1346.45,14,12,1
99366,1344.36,34,34,2
87487,1327.94,250,223,14
V2520,1324.0,39,38,3
76642,1311.22,80,51,4
72131,1303.43,63,51,4
D9986,1296.0,1883,1648,13
D9248,1281.17,13,13,1
17003,1260.62,264,240,18
77072,1255.36,67,67,5
70498,1248.0,34,26,2
00635,1246.35,12,12,1
K0195,1239.77,1998,1121,60
E0261,1231.59,435,292,20
84030,1220.81,3103,2791,84
10040,1202.88,12,12,1
99487,1201.81,220,209,12
73590,1197.92,141,115,8
99318,1173.19,243,156,8
82077,1172.72,1050,867,55
84145,1136.66,3554,1790,89
J1040,1134.98,229,198,15
73140,1125.15,50,38,3
3075F,1078.44,16042,14512,596
81207,1078.43,163,144,8
1158F,1077.37,3908,3369,134
0012A,1074.17,42,39,2
85651,1054.26,4800,3119,142
97750,1051.5,161,152,9
S0119,1046.16,276,266,17
99407,1034.36,81,77,6
99201,1032.1,72,56,3
H1003,1026.02,57,40,3
94618,1005.94,107,100,6
G0279,1003.38,55,50,4
G0270,976.64,217,194,10
97035,968.59,1022,266,17
11104,967.17,20,19,1
Q0091,967.08,1841,1647,91
90696,953.74,1670,1406,92
84157,949.23,1148,929,57
J2791,948.6,129,108,7
0011A,943.06,67,59,4
87389,941.55,244,189,14
G2066,936.86,3085,2190,90
87420,934.69,1155,1115,32
93304,927.27,12,12,1
V2502,923.63,35,32,2
97167,906.14,18,16,1
A7038,905.66,1729,1440,74
86644,902.45,236,116,9
A6222,902.43,107,100,8
99337,900.26,147,110,7
G0381,888.25,26,24,2
G8418,878.48,20908,17425,265
87116,865.86,381,280,19
G2211,861.84,9305,6739,93
81513,855.84,88,69,5
J2720,852.43,55,42,3
69220,834.11,22,14,1
92100,825.13,174,153,9
94375,823.84,15,12,1
77427,818.24,74,24,2
93321,806.97,189,154,11
J7060,806.23,2040,325,15
A7037,805.71,121,105,8
11901,796.32,31,30,2
96417,790.08,15,13,1
92202,783.88,643,586,33
59050,782.67,168,113,8
93880,782.14,13,12,1
11765,763.92,188,122,9
87209,751.99,76,59,4
86886,742.81,3060,2734,89
G0508,733.17,13,13,1
J2930,732.12,483,390,29
99236,728.94,16,12,1
84300,716.8,311,212,16
31500,715.62,15,12,1
1170F,707.9,14144,11226,434
99226,707.5,39,26,2
L2397,706.29,248,169,11
90962,699.13,39,26,2
G0511,691.65,279,250,15
A4604,685.61,915,729,47
G0407,682.93,43,38,3
L3809,668.57,57,38,3
85576,665.14,96,60,4
99225,654.16,47,24,2
A4550,653.59,13,13,1
86922,648.52,29,25,2
J2543,631.28,254,87,7
11755,625.46,15,15,1
98925,612.86,47,42,3
76881,607.05,13,13,1
P9016,606.78,35,25,2
82140,606.31,611,277,20
77073,604.76,14,14,1
L3916,591.12,49,29,2
L3960,587.93,55,51,4
88104,582.24,100,64,4
87496,576.4,139,134,9
99439,555.61,342,341,16
K1034,554.88,4397,4376,21
96415,551.34,12,12,1
J2920,542.6,442,307,21
15273,539.35,25,13,1
1000F,538.91,40597,30055,857
L0642,523.1,26,26,2
H0050,522.48,50,39,3
G0127,515.46,869,580,12
72081,511.36,14,14,1
86703,492.14,688,586,34
D7311,486.12,84,68,5
72275,485.82,42,41,3
99495,483.07,33,26,2
87324,479.96,288,226,16
96156,477.99,4049,4020,87
A4927,476.12,49,49,4
G0180,467.61,115,114,8
67028,466.85,14,12,1
77003,462.57,137,130,6
96040,460.72,13,12,1
A7035,449.09,398,334,24
D9430,448.0,14,12,1
86787,447.18,244,228,14
99326,442.68,13,13,1
90621,440.83,175,168,12
85008,432.48,4097,2626,108
C1729,431.75,216,181,11
S9999,426.56,59,48,3
93018,426.1,38,38,3
87899,421.16,512,461,31
10140,419.42,42,26,2
J0456,417.48,33,26,2
G0446,403.52,859,772,21
88188,400.14,13,13,1
84134,398.25,246,127,9
81000,395.22,2095,1405,73
11719,385.86,1174,1036,41
81403,382.4,28,28,2
3079F,379.65,31217,27148,1036
00142,376.79,21,15,1
11105,375.39,20,19,1
3288F,373.49,8168,6867,273
90661,367.93,65,62,4
G6002,367.06,64,13,1
3044F,364.95,9226,8523,326
51784,360.17,57,39,3
87449,333.98,350,255,17
84153,333.54,512,319,22
92225,332.54,683,291,12
G0471,332.32,118219,43963,51
70210,325.95,53,51,4
1220F,319.18,14600,11841,433
D0270,317.05,622,567,33
1036F,310.38,41755,33952,960
99417,309.91,15,15,1
64450,309.61,13,12,1
99356,302.92,20,13,1
89051,302.33,357,280,20
72040,300.76,72,62,5
87106,294.38,199,154,11
A7031,289.62,257,234,17
82270,286.94,214,192,14
97760,283.41,26,26,2
90657,276.27,62,59,3
2010F,273.41,7295,6276,139
87206,270.76,369,278,20
86328,262.23,586,200,12
A4351,261.32,805,496,29
84436,261.31,1476,951,45
93016,260.44,37,37,2
V2522,259.08,15,15,1
84478,257.69,592,134,10
90653,252.4,20,20,1
94761,248.61,263,220,9
91301,247.53,176,135,9
87076,245.35,305,283,18
G0379,244.15,13,12,1
99174,237.54,1237,751,25
A4256,236.15,738,528,24
0003A,235.2,23,14,1
31720,231.97,81,68,5
73600,231.04,29,23,1
76377,230.42,14,12,1
E2611,217.61,43,14,1
86885,216.99,329,285,18
0013A,214.17,37,24,2
A7016,213.57,809,263,18
A7015,212.07,320,258,15
A7034,206.53,327,242,18
82533,204.1,52,45,3
3725F,203.23,39737,33536,1226
80347,201.4,16,15,1
87641,200.44,62,53,4
A7032,194.63,29,24,2
85362,194.4,1045,780,49
88280,193.29,14,13,1
V2745,192.16,2585,2486,110
87147,191.64,647,388,22
87015,190.0,344,265,19
29515,189.0,16,13,1
D4921,187.26,1115,387,27
80363,184.49,137,128,7
V2755,184.18,3568,2974,137
87640,182.55,27,26,2
72170,182.06,55,19,1
80326,182.05,16,15,1
D9996,178.78,14,14,1
99422,178.73,91,69,3
J1020,177.33,115,106,8
87802,176.5,15,12,1
86403,176.48,69,56,4
94667,175.65,330,112,8
86038,175.04,109,87,7
99423,174.92,15,14,1
A7030,169.05,92,83,6
86308,166.76,483,440,31
89050,165.04,181,129,9
3014F,163.93,538,492,27
82951,161.63,77,77,6
81479,160.68,12,12,1
0134A,160.0,24,24,1
90473,159.84,95,94,6
80185,159.74,249,116,9
69209,153.06,60,49,4
93308,152.48,13,13,1
A7003,147.44,734,253,17
92020,144.75,113,97,7
86800,142.35,15,15,1
E0607,142.16,25,12,1
V2750,140.0,629,562,37
99358,136.96,201,176,11
84681,134.88,13,13,1
86318,133.69,28,27,2
92341,133.01,668,662,33
86255,132.89,70,65,5
84311,131.1,35,27,1
99484,128.78,147,108,3
98981,127.82,179,170,6
J2360,127.21,395,342,21
J2060,126.55,798,626,40
86376,125.76,16,16,1
82010,124.9,469,305,21
G8431,124.5,6986,3612,147
90619,122.94,1439,1390,73
84480,122.56,16,16,1
V2410,122.18,163,149,7
3016F,121.29,5595,5283,192
99172,120.12,31,31,2
A5514,119.34,25,12,1
98928,118.68,72,31,2
87102,118.38,298,222,15
99491,115.56,189,151,10
96138,110.88,81,69,2
99421,110.81,16,14,1
V2799,109.02,273,241,14
87806,107.81,510,463,30
D0250,106.08,56,56,3
J2550,103.4,258,215,15
99001,103.33,56,53,3
11740,103.22,23,16,1
84479,102.62,79,58,4
3351F,100.88,33889,26249,898
98975,100.37,309,296,16
3061F,100.19,287,256,13
85380,100.17,195,179,13
S0257,100.0,4511,3403,113
85044,98.85,154,96,7
87650,92.4,27,27,2
82043,90.31,83,69,5
99347,87.91,95,68,4
82784,87.82,105,62,5
J0735,85.45,49,42,3
93042,84.9,31,16,1
83020,82.44,56,32,2
99152,79.02,62,39,3
A4258,77.35,486,308,20
4013F,77.23,5001,3951,157
99447,75.98,19,16,1
90697,75.9,5607,4236,211
87507,75.42,32,27,2
3077F,75.04,5624,4856,255
G9920,72.19,662,656,26
J0895,70.27,39,12,1
81005,69.71,93,93,4
82977,69.38,83,53,4
3045F,68.63,111,93,6
88363,68.34,12,12,1
G8754,67.26,10542,7870,363
G0268,66.25,16,12,1
P9604,65.53,1889,537,33
87808,63.87,864,781,44
J3415,63.44,26,12,1
87177,63.35,77,60,4
G0438,63.35,136,132,7
80050,61.79,98,98,6
4010F,53.64,6157,4892,214
G0506,53.26,13,13,1
86665,50.48,27,24,2
99408,49.58,938,858,45
98927,48.76,25,12,1
J1171,48.35,226,71,5
E2601,47.23,43,14,1
68761,46.47,30,12,1
G8753,44.15,332,271,17
90655,42.52,634,617,29
J7613,41.58,741,643,34
87328,41.3,16,14,1
85049,41.19,282,182,12
82945,38.86,134,114,9
3017F,37.83,698,596,34
1101F,37.83,5733,4529,174
0513F,37.83,2610,1827,69
87425,36.53,24,18,1
G8783,36.49,3244,2192,124
51741,31.89,55,38,3
82378,31.6,20,13,1
G0442,31.25,6653,5214,168
Q4012,30.06,12,12,1
0521F,28.34,3020,2624,63
85461,25.57,47,43,3
3048F,25.51,426,364,22
83721,23.41,25,17,1
85660,22.59,34,26,2
G0145,21.9,374,298,18
91307,21.76,1428,1131,38
G0406,21.03,163,128,6
C9803,19.71,65,57,4
G0476,19.44,88,73,5
89055,18.23,12,12,1
82009,18.01,86,65,5
84481,17.6,13,12,1
82274,16.68,76,55,4
99446,14.27,42,41,3
86664,14.2,27,24,2
4551F,14.17,1221,1117,27
1034F,14.17,2834,2469,131
G8483,14.17,1215,1004,39
3049F,14.17,346,308,18
A7046,14.03,73,59,4
A4301,13.48,5565,569,26
4000F,12.61,3621,3050,131
4086F,12.61,914,719,37
87341,12.32,17,13,1
A7033,11.97,27,24,2
86663,11.35,27,24,2
3080F,11.07,1573,1368,86
G0433,9.28,37,37,3
87329,7.76,16,14,1
85347,7.15,21,12,1
15271,6.3,34,16,1
G8752,3.8,9148,6856,329
J1245,2.52,65,40,3
80179,2.24,15,14,1
92593,0.6,13,12,1
90660,0.04,14,14,1
1090F,0.0,974,816,35
D9993,0.0,8786,8628,210
1123F,0.0,5580,4146,176
4450F,0.0,14,13,1
G8734,0.0,4465,1000,54
2000F,0.0,22438,17970,499
G2178,0.0,585,451,30
91311,0.0,147,132,8
G9903,0.0,6018,3430,146
3050F,0.0,278,246,16
2019F,0.0,612,483,23
G0117,0.0,1637,1389,64
G9771,0.0,675,522,36
G8428,0.0,291,169,10
4004F,0.0,2349,1576,75
G1004,0.0,731,531,31
3353F,0.0,135,135,7
G0257,0.0,39,28,2
G2197,0.0,1441,359,23
G9655,0.0,1127,844,50
C1757,0.0,19,14,1
3015F,0.0,633,563,34
2022F,0.0,1076,962,42
3319F,0.0,17,16,1
87184,0.0,44,17,1
G0152,0.0,331,164,11
G0009,0.0,55,45,3
G8950,0.0,4129,2227,105
G8938,0.0,634,542,21
1157F,0.0,1192,1116,50
86923,0.0,352,217,16
G9642,0.0,201,149,12
G8416,0.0,960,722,37
G9656,0.0,1220,826,54
H0002,0.0,100,96,6
L8699,0.0,166,161,11
D9630,0.0,434,380,24
91308,0.0,45,43,3
1031F,0.0,15400,13879,110
3011F,0.0,433,404,13
G9637,0.0,1633,1145,59
G0469,0.0,191,155,10
1124F,0.0,1337,1066,59
4008F,0.0,108,89,6
A0422,0.0,70,61,4
Q5001,0.0,1099,881,52
G8422,0.0,1082,713,6
99429,0.0,31,31,1
G8708,0.0,98,73,4
G8907,0.0,131,107,8
1003F,0.0,141,134,6
J7620,0.0,35,30,2
J2272,0.0,165,126,6
29105,0.0,14,12,1
92342,0.0,835,742,41
D5899,0.0,57,26,2
G8482,0.0,521,445,26
A4216,0.0,32,29,2
G0151,0.0,2549,856,44
3072F,0.0,364,273,15
3352F,0.0,246,238,14
D9612,0.0,559,497,9
G0299,0.0,5972,823,43
0518F,0.0,909,840,45
G8755,0.0,50,42,3
G9008,0.0,46,30,2
G9919,0.0,81,81,5
G8419,0.0,2155,1769,79
G9678,0.0,540,451,32
G8598,0.0,1192,944,48
86705,0.0,88,74,4
99409,0.0,411,273,12
Z1034,0.0,953,732,40
G0157,0.0,2199,355,24
T1016,0.0,116,90,6
92546,0.0,45,38,3
4120F,0.0,316,276,18
V2756,0.0,834,741,41
4293F,0.0,1942,1911,34
87810,0.0,153,127,6
0509F,0.0,19,19,1
G9756,0.0,45,36,3
M1207,0.0,271,218,14
87493,0.0,15,12,1
G8952,0.0,115,115,8
J0561,0.0,54,54,3
87563,0.0,370,199,14
G9658,0.0,288,171,11
G8731,0.0,491,418,24
A4617,0.0,171,154,9
Q5002,0.0,350,298,20
Q0511,0.0,14,13,1
T1023,0.0,232,144,7
A9575,0.0,330,192,13
4040F,0.0,233,218,12
G9664,0.0,159,109,8
G8918,0.0,87,67,5
C9399,0.0,25,17,1
J0702,0.0,200,158,11
V2200,0.0,508,503,23
80143,0.0,16,12,1
J8540,0.0,105,103,7
G0443,0.0,17,14,1
99498,0.0,22,19,1
3051F,0.0,73,70,5
80162,0.0,160,99,7
D0431,0.0,30,30,2
Z1032,0.0,40,40,3
G9643,0.0,50,36,3
G0162,0.0,189,126,8
G9197,0.0,14,13,1
Q2037,0.0,44,44,2
G2121,0.0,15,14,1
3754F,0.0,421,419,13
1030F,0.0,51,50,2
4050F,0.0,143,105,7
G9432,0.0,59,56,3
G1010,0.0,156,113,6
89190,0.0,55,52,4
0004A,0.0,17,16,1
G8433,0.0,244,236,9
G0159,0.0,72,37,3
M1208,0.0,40,28,2
99080,0.0,183,106,7
J1741,0.0,34,27,2
G9745,0.0,80,79,5
3028F,0.0,97,93,7
A6449,0.0,18,14,1
99483,0.0,54,46,3
G8730,0.0,30,28,2
91306,0.0,72,72,3
Z6410,0.0,96,51,4
82375,0.0,31,24,2
G9551,0.0,98,89,7
87046,0.0,30,29,2
G8935,0.0,114,72,5
M0220,0.0,357,87,3
G8484,0.0,562,491,15
90694,0.0,47,40,2
4192F,0.0,17,17,1
C9113,0.0,207,107,8
G0300,0.0,423,91,7
87101,0.0,20,14,1
G9902,0.0,94,65,4
H0033,0.0,117,51,3
Q0144,0.0,102,91,6
3062F,0.0,14,12,1
90672,0.0,65,65,4
D0340,0.0,74,74,4
V2203,0.0,28,28,2
Q9966,0.0,17,14,1
G9512,0.0,178,161,5
96380,0.0,12,12,1
G1003,0.0,64,48,3
G8732,0.0,12,12,1
99457,0.0,65,65,5
0500F,0.0,31,30,2
1033F,0.0,151,148,8
99325,0.0,42,33,2
M0244,0.0,21,20,1
A6258,0.0,12,12,1
0501F,0.0,27,15,1
96132,0.0,22,16,1
D0470,0.0,13,13,1
S0077,0.0,64,26,2
Q0513,0.0,54,54,1
1035F,0.0,17,13,1
G9226,0.0,12,12,1
S0020,0.0,15,15,1
G9744,0.0,40,40,3
0001F,0.0,46,44,2
83037,0.0,12,12,1
J0741,0.0,12,12,1
11000,0.0,39,24,2
82575,0.0,13,13,1
J3411,0.0,24,12,1
1100F,0.0,93,90,4
Q2035,0.0,39,30,2
36430,0.0,30,25,2
3046F,0.0,69,69,5
G9557,0.0,13,13,1
96136,0.0,22,17,1
G9521,0.0,45,44,2
A0888,0.0,35,32,2
2023F,0.0,39,33,2
29505,0.0,13,13,1
J2710,0.0,23,18,1
82044,0.0,12,12,1
90732,0.0,71,46,3
3066F,0.0,19,15,1
Q0244,0.0,14,14,1
G9990,0.0,24,12,1
G9497,0.0,35,24,2
A9576,0.0,12,12,1
1494F,0.0,14,14,1
4044F,0.0,14,13,1
G2064,0.0,26,15,1
G9717,0.0,128,42,2
4037F,0.0,23,20,1
J1953,0.0,56,47,3
3210F,0.0,32,24,2
G9991,0.0,12,12,1
59426,0.0,50,31,2
Q2038,0.0,12,12,1
G9638,0.0,14,12,1
G0158,0.0,63,12,1
92537,0.0,17,14,1
4025F,0.0,23,19,1
2014F,0.0,15,13,1
G8967,0.0,14,13,1
